source,target,synapses
ADAL,ADFL,1
ADAL,ASHL,1
ADAL,AVDR,2
ADAR,ADAL,1
ADAR,ADFR,1
ADAR,ASHR,1
ADAR,AVDL,2
ADAR,PVQR,1
ADLL,ADLR,1
ADLL,AVDR,1
ADLL,OLQVL,1
ADLL,RMGL,1
AFDL,AFDR,1
AFDL,AIBL,1
AFDR,AIBR,1
AIAL,ASIL,2
AIAL,AWAL,1
AIAR,ADFR,1
AIAR,AIAL,1
AIAR,ASIR,2
AIAR,AWAR,1
AINL,ADEL,1
AINL,ASGR,1
AINR,AINL,2
AINR,ASGL,1
AIYL,RIML,1
AIYR,AIYL,1
AIYR,RIMR,1
AIZL,AIZR,2
AIZL,ASHL,1
AIZR,ASHR,1
ALML,AVM,1
ALML,PVR,1
ALMR,AVM,1
ALNL,SMBDR,1
AS10,AVAL,1
AS11,PDB,2
AS2,DA2,1
AS3,DA2,1
AS4,DA3,1
AS6,DA5,2
ASGL,AIZL,1
ASGR,AIZR,1
ASHL,ASHR,1
ASIL,ASIR,1
ASJL,ASJR,1
ASKL,RMGL,1
ASKR,ASHR,1
ASKR,ASKL,1
ASKR,PVQR,4
ASKR,RMGR,1
AUAL,AINR,1
AUAL,AUAR,1
AUAR,AINL,1
AVAL,AS1,3
AVAL,AS3,2
AVAL,AS5,1
AVAL,AS6,1
AVAL,AS7,6
AVAL,AS8,4
AVAL,AS9,4
AVAL,DA1,2
AVAL,DA2,2
AVAL,DA4,3
AVAL,DA5,1
AVAL,DA6,10
AVAL,DA7,2
AVAL,LUAL,1
AVAL,PVCL,2
AVAL,PVCR,5
AVAL,PVPL,1
AVAL,RIMR,3
AVAL,SABD,4
AVAL,SABVR,1
AVAL,SDQR,1
AVAL,URYVR,1
AVAL,VA10,1
AVAL,VA11,1
AVAL,VB9,5
AVAR,AS1,2
AVAR,AS10,1
AVAR,AS3,1
AVAR,AS5,1
AVAR,AS6,1
AVAR,AS7,5
AVAR,AS8,3
AVAR,AS9,1
AVAR,AVAL,5
AVAR,DA1,6
AVAR,DA2,2
AVAR,DA3,2
AVAR,DA4,2
AVAR,DA5,5
AVAR,DA6,2
AVAR,DA8,1
AVAR,PVCR,3
AVAR,RIML,2
AVAR,RIMR,1
AVAR,SABVL,3
AVAR,SABVR,1
AVAR,URYDR,1
AVAR,URYVL,1
AVAR,VA10,1
AVAR,VA11,7
AVAR,VA12,1
AVAR,VA3,2
AVAR,VA4,3
AVAR,VA5,3
AVAR,VA6,2
AVAR,VA7,4
AVAR,VA8,4
AVAR,VB9,4
AVBL,AQR,1
AVBL,AS7,2
AVBL,DVA,1
AVBL,SDQR,1
AVBL,SIBVL,1
AVBL,VB1,1
AVBL,VB10,2
AVBL,VB11,2
AVBL,VB2,3
AVBL,VB5,1
AVBL,VB6,1
AVBL,VB7,2
AVBL,VB8,7
AVBL,VB9,1
AVBR,AS6,1
AVBR,AS7,2
AVBR,AVBL,3
AVBR,DB4,1
AVBR,DD1,1
AVBR,DVA,1
AVBR,PVNL,2
AVBR,SIBVL,1
AVBR,VB10,1
AVBR,VB11,1
AVBR,VB2,1
AVBR,VB3,1
AVBR,VB6,2
AVBR,VB7,2
AVBR,VB8,3
AVBR,VB9,6
AVEL,AVER,1
AVEL,RMDVR,1
AVER,RMDVL,1
AVER,RMDVR,1
AVFL,AVFR,23
AVFR,VC4,1
AVHL,AVFL,2
AVHL,AVFR,2
AVHL,AVHR,1
AVHL,PHBR,1
AVHR,AVFL,3
AVHR,AVFR,1
AVJL,AVAL,2
AVJL,AVDR,2
AVJL,PVCL,1
AVJL,PVCR,3
AVJR,AVJL,4
AVJR,PVCL,1
AVKL,ADER,1
AVKL,AQR,2
AVKL,PVPL,1
AVKL,PVPR,1
AVKL,SMBVR,1
AVKR,ADEL,1
